16.07 -0.63 0.80
18.70 -1.76 4.19
19.40 0.04 2.05
21.35 1.25 3.48
22.84 1.48 -1.83
22.44 1.00 -0.18
18.13 2.26 -0.23
18.78 0.33 -0.30
20.32 0.01 0.61
23.89 -2.60 -0.14
23.74 0.61 -1.87
25.54 1.85 -3.18
21.56 0.72 -3.44
15.31 -1.34 -2.03
19.84 1.68 -0.22
22.10 -0.77 -0.88
22.18 -1.55 -1.00
23.29 -2.40 -1.00
22.79 0.24 -0.98
23.84 -0.02 -1.87
22.79 0.46 -1.93
24.68 1.40 -1.48
19.34 -1.13 -1.92
19.52 -0.36 -0.80
17.46 -2.86 0.02
20.09 0.20 0.33
23.30 5.00 -0.11
24.34 -0.52 -2.29
21.56 -2.47 -2.03
24.58 -2.83 -1.30
20.74 -3.05 -0.62
22.26 0.16 -1.18
24.27 2.20 0.11
24.56 1.24 -1.01
20.79 0.77 -1.17
19.06 -0.08 -0.97
20.49 -0.75 -0.33
19.99 0.36 -0.15
16.76 0.15 0.34
18.35 0.07 -1.01
18.16 1.50 -2.14
19.41 -1.36 -1.58
18.99 -0.37 -1.43
18.28 -2.62 -1.43
19.00 -1.92 0.30
20.60 -4.35 0.01
19.97 0.99 -1.50
20.92 -1.26 -1.53
22.08 -1.42 -0.94
23.05 -0.33 -1.57
18.66 4.33 -1.25
19.24 -0.01 -1.17
21.92 3.66 -1.62
21.73 2.20 -1.99
15.97 2.25 -0.23
16.72 -1.98 0.67
20.58 0.91 0.17
22.52 0.20 -0.70
23.67 -2.12 -2.23
23.46 2.75 -2.24
22.29 1.89 -1.86
20.50 0.13 -1.23
14.14 1.48 -2.05
9.45 2.13 -1.90
11.40 -1.58 -0.70
17.85 1.17 1.11
19.55 -0.52 0.52
19.92 0.80 -0.92
19.33 1.08 -0.83
19.74 0.01 -0.92
15.48 2.42 0.48
15.18 1.50 1.28
20.74 1.16 0.42
23.38 0.97 -1.97
18.18 -0.93 -2.47
21.23 -0.04 -0.23
19.98 -1.18 0.12
18.24 -1.90 0.25
22.51 3.32 -0.89
22.12 4.42 -0.86
20.37 0.46 -1.54
20.15 2.16 -0.70
23.45 2.11 -0.21
20.98 1.10 -0.51
22.82 1.61 -0.29
21.93 -0.21 0.66
20.27 -0.19 0.18
18.62 -2.89 0.33
18.68 -3.50 0.33
18.09 -3.33 0.10
17.30 -0.76 -0.72
12.67 2.79 1.60
24.27 -0.33 -1.19
22.40 -0.75 -1.72
23.20 -2.56 -1.32
20.30 -5.12 -1.07
