Desktop_Software_Build_Version,1.7,,,,,,,,,,,,,,,,,,,
#,Year,Month,Day,Hour,Minute,Second,VelX,VelY,VelZ,SNR1,SNR2,SNR3,AccX,AccY,AccZ,Temp,STD X,STD Y,STD Z,
(),(),(),(),(),(),(),(m/s),(m/s),(m/s),(dB),(dB),(dB),(cnts),(cnts),(cnts),(°C),0.179045796683772,0.067317756793782,0.301985685541802,0.045886394700526
2,2022,3,30,14,0,6,-0.86,-0.356,1.514,45.855,43.246,43.924,533.946,-322.208,15418.67,10.259,,,,
2,2022,3,30,14,0,7,-1.536,-0.461,2.236,42.985,43.533,44.037,398.736,-522.663,16051.08,10.259,,,,
2,2022,3,30,14,0,7,-0.818,-0.444,1.841,41.717,43.489,45.956,438.1,-329.176,15552.73,10.259,,,,
2,2022,3,30,14,0,8,-1.445,-0.55,1.94,42.273,41.833,45.256,495.239,-138.292,15225.89,10.259,,,,
2,2022,3,30,14,0,8,-1.111,-0.457,1.589,43.319,42.716,43.879,-269.607,-353.272,16040.63,10.259,,,,
2,2022,3,30,14,0,9,-0.866,-0.4,1.715,42.918,41.59,44.511,-544.285,-437.956,16240.79,10.259,,,,
2,2022,3,30,14,0,9,-1.058,-0.358,1.547,42.785,43.18,44.737,-696.544,-106.335,16135.87,10.259,,,,
2,2022,3,30,14,0,10,-1.338,-0.422,1.899,42.896,44.019,45.618,1152.72,-560.056,15167.69,10.259,,,,
2,2022,3,30,14,0,10,-0.967,-0.505,1.494,41.917,43.688,45.753,-269.776,52.192,15881.37,10.259,,,,
2,2022,3,30,14,0,11,-1.054,-0.5,2.101,43.163,43.865,45.143,-625.013,-25.17,15945.31,10.259,,,,
2,2022,3,30,14,0,11,-1.033,-0.46,1.725,44.743,42.473,44.76,-301.097,376.562,15613.51,10.259,,,,
2,2022,3,30,14,0,12,-1.084,-0.4,1.689,42.384,44.704,45.527,-85.566,115.063,15822.11,10.265,,,,
2,2022,3,30,14,0,12,-1.246,-0.496,1.792,42.518,44.196,45.143,-280.425,414.411,15674.87,10.264,,,,
2,2022,3,30,14,0,13,-0.942,-0.476,2.026,42.318,41.943,45.46,772.712,-289.372,15187.68,10.27,,,,
2,2022,3,30,14,0,13,-1.269,-0.545,1.803,42.829,42.672,44.353,521.522,89.366,15401.31,10.269,,,,
2,2022,3,30,14,0,14,-0.821,-0.448,2.239,41.383,42.871,45.505,-218.325,-536.252,16117.09,10.27,,,,
2,2022,3,30,14,0,14,-1.024,-0.43,1.616,43.831,44.13,46.769,-321.018,199.142,16140.74,10.283,,,,
2,2022,3,30,14,0,15,-0.973,-0.461,1.659,43.964,42.562,43.834,849.043,-509.246,15150.52,10.275,,,,
2,2022,3,30,14,0,15,-0.866,-0.55,1.909,42.295,42.363,45.347,-305.678,-236.805,15908.5,10.283,,,,
2,2022,3,30,14,0,16,-1.204,-0.481,2.373,43.63,42.893,44.285,252.006,-51.674,15429.89,10.286,,,,
2,2022,3,30,14,0,16,-0.823,-0.524,1.951,42.852,43.158,46.092,-175.808,-115.985,15806.44,10.292,,,,
2,2022,3,30,14,0,17,-0.847,-0.356,1.515,43.274,43.246,45.572,38.885,283.868,15807.78,10.286,,,,
2,2022,3,30,14,0,17,-0.97,-0.389,1.106,44.876,44.108,44.353,-327.426,156.718,15683.42,10.283,,,,
2,2022,3,30,14,0,18,-1.433,-0.435,1.305,43.163,43.335,44.692,-937.562,1128.319,15695.85,10.291,,,,
2,2022,3,30,14,0,18,-0.747,-0.274,1.242,43.808,42.54,44.872,-148.748,-319.807,16220.16,10.283,,,,
2,2022,3,30,14,0,19,-0.928,-0.544,1.794,43.341,44.527,46.702,-105.702,-486.12,16013.42,10.286,,,,
2,2022,3,30,14,0,19,-1.129,-0.47,1.657,42.829,42.164,44.218,374.112,126.253,15514.54,10.283,,,,
2,2022,3,30,14,0,20,-1.089,-0.405,1.336,41.873,42.032,44.782,308,45.803,15654.52,10.291,,,,
