Desktop_Software_Build_Version,1.7
#,Year,Month,Day,Hour,Minute,Second,VelX,VelY,VelZ,SNR1,SNR2,SNR3,AccX,AccY,AccZ,Temp
(),(),(),(),(),(),(),(m/s),(m/s),(m/s),(dB),(dB),(dB),(cnts),(cnts),(cnts),(°C)
01,2022,03,30,15,37,44,-0.458,-0.093,0.331,48.97,44.704,49.818,-916.235,-173.316,15730.81,10.334
01,2022,03,30,15,37,44,-0.498,-0.187,0.256,50.083,42.385,51.534,-1052.314,-427.429,15906.4,10.334
01,2022,03,30,15,37,45,-0.434,-0.249,0.683,48.369,37.658,50.631,-926.195,-517.893,15844.97,10.334
01,2022,03,30,15,37,45,-0.273,-0.217,0.304,47.991,37.526,49.276,-793.593,-303.98,15778.68,10.334
01,2022,03,30,15,37,46,-0.387,-0.113,-0.201,48.369,38.763,51.896,-905.246,-544.778,15867.47,10.334
01,2022,03,30,15,37,46,-0.565,-0.191,0.296,48.214,39.028,49.186,-895.339,-338.051,15863.79,10.334
01,2022,03,30,15,37,47,-0.495,-0.124,0.039,49.771,38.498,51.196,-786.237,-56.779,15724.84,10.334
01,2022,03,30,15,37,47,-0.5,-0.055,0.627,50.283,38.012,49.886,-992.188,-315.108,15801.57,10.334
01,2022,03,30,15,37,48,-0.479,-0.109,0.212,48.481,40.552,51.309,-1080.737,-391.037,15854.57,10.334
01,2022,03,30,15,37,48,-0.247,-0.191,0.248,47.279,42.451,49.434,-1006.82,-550.422,15846.91,10.334
01,2022,03,30,15,37,49,-0.396,-0.225,0.436,48.325,40.419,51.354,-938.27,-401.37,15780.87,10.334
01,2022,03,30,15,37,49,-0.431,-0.098,0.094,49.638,38.873,50.45,-969.35,-444.653,15803.9,10.334
01,2022,03,30,15,37,50,-0.426,-0.041,-0.265,48.547,39.403,50.428,-1050.694,-391.805,15864.61,10.334
01,2022,03,30,15,37,50,-0.487,-0.174,0.353,50.194,37.703,51.196,-875.941,-760.788,15850.77,10.334
01,2022,03,30,15,37,51,-0.356,-0.232,0.594,49.326,37.018,51.15,-847.543,-192.167,15773.21,10.334
01,2022,03,30,15,37,51,-0.284,-0.153,0.302,48.458,39.271,49.841,-924.889,-212.295,15790.65,10.334
01,2022,03,30,15,37,52,-0.398,-0.173,0.48,48.948,41.767,50.247,-891.117,-262.047,15756.42,10.334
01,2022,03,30,15,37,52,-0.558,-0.141,0.194,48.547,43.997,51.06,-917.303,-363.322,15772.78,10.334
01,2022,03,30,15,37,53,-0.487,-0.094,0.574,48.792,46.471,50.45,-902.541,-450.105,15783.77,10.334
01,2022,03,30,15,37,53,-0.393,-0.15,0.143,49.838,40.353,51.286,-852.598,-513.204,15834.94,10.334
01,2022,03,30,15,37,54,-0.335,-0.106,-0.066,48.659,39.182,50.586,-686.572,-331.054,15749.82,10.334
01,2022,03,30,15,37,54,-0.603,-0.229,0.515,49.193,34.191,53.206,-977.446,-279.31,15855.81,10.334
01,2022,03,30,15,37,55,-0.562,-0.218,0.748,50.372,37.769,51.58,-773.859,-353.265,15798.15,10.334
01,2022,03,30,15,37,55,-0.476,-0.179,0.515,50.995,32.755,51.986,-781.046,-270.75,15821.54,10.334
01,2022,03,30,15,37,56,-0.176,-0.145,0.381,48.058,38.387,51.896,-723.962,-235.32,15804.09,10.334
01,2022,03,30,15,37,56,-0.316,-0.052,0.252,49.571,35.074,50.609,-685.121,-201.52,15795.24,10.334
01,2022,03,30,15,37,57,-0.621,-0.041,-0.236,49.793,36.709,51.783,-784.418,-280.745,15844.86,10.334
01,2022,03,30,15,37,57,-0.416,-0.092,-0.088,49.704,39.492,50.315,-746.1,-158.209,15778.41,10.334
01,2022,03,30,15,37,58,-0.458,-0.021,-0.025,49.615,43.224,50.88,-547.238,-481.239,15808.63,10.334
01,2022,03,30,15,37,58,-0.478,-0.008,-0.242,50.394,44.991,50.563,-734.703,-287.746,15803.59,10.334
01,2022,03,30,15,37,59,-0.515,-0.201,0.316,48.236,39.447,51.489,-710.52,-676.192,15859.98,10.334
01,2022,03,30,15,37,59,-0.358,-0.352,0.89,49.059,41.259,51.58,-664.546,-135.586,15732.35,10.334
01,2022,03,30,15,38,00,-0.163,-0.124,-0.506,49.237,46.316,50.112,-809.616,-189.265,15749.19,10.334
01,2022,03,30,15,38,00,-0.157,-0.022,-0.224,49.727,43.246,51.354,-735.554,-589.668,15806.69,10.334
01,2022,03,30,15,38,01,-0.445,-0.155,0.107,49.348,38.873,51.557,-808.244,-399.563,15738.94,10.334
01,2022,03,30,15,38,01,-0.134,-0.185,0.226,49.549,40.795,50.947,-854.024,-341.952,15820.46,10.334
01,2022,03,30,15,38,02,-0.399,-0.2,0.131,49.704,39.293,51.805,-958.003,-638.384,15885.09,10.334
01,2022,03,30,15,38,02,-0.481,-0.122,-0.015,47.991,37.879,51.286,-627.458,-215.383,15802.39,10.334
01,2022,03,30,15,38,03,-0.57,-0.12,0.04,50.928,38.608,49.592,-674.598,-101.958,15777.75,10.334
01,2022,03,30,15,38,03,-0.252,-0.183,0.525,49.148,36.267,51.918,-438.794,-508.334,15807.78,10.334
01,2022,03,30,15,38,04,-0.556,-0.148,0.318,49.415,39.602,51.625,-633.425,-134.673,15770.37,10.334
01,2022,03,30,15,38,04,-0.577,-0.067,-0.441,49.415,38.829,50.021,-653.641,-512.069,15764.23,10.334
01,2022,03,30,15,38,05,-0.153,0.008,-0.173,47.769,40.044,50.789,-665.325,-308.942,15713.44,10.334
01,2022,03,30,15,38,05,-0.226,-0.037,-0.171,49.437,43.666,51.896,-932.302,-327.015,15785.83,10.334
01,2022,03,30,15,38,06,-0.214,-0.156,0.258,48.948,43.953,49.525,-748.889,-380.474,15794.66,10.334
01,2022,03,30,15,38,06,-0.099,-0.121,0.324,48.058,39.447,51.557,-589.784,-311.086,15749.27,10.334
01,2022,03,30,15,38,07,-0.503,-0.118,0.027,50.75,37.614,51.15,-970.237,-118.254,15893.81,10.334
01,2022,03,30,15,38,07,-0.361,-0.099,-0.343,48.77,39.779,53.047,-841.038,-190.489,15822.34,10.334
01,2022,03,30,15,38,08,-0.394,-0.098,0.1,50.483,40.419,52.505,-731.556,-247.199,15826.3,10.334
01,2022,03,30,15,38,08,-0.674,-0.081,0.058,50.527,39.933,51.038,-858.69,-209.035,15843.23,10.334
01,2022,03,30,15,38,09,-0.323,-0.055,-0.289,52.263,44.019,52.754,-588.32,-279.48,15754.99,10.334
01,2022,03,30,15,38,09,-0.278,-0.11,-0.521,49.348,43.467,50.609,-432.579,-228.968,15811.95,10.334
01,2022,03,30,15,38,10,-0.43,0.063,-0.786,48.325,43.511,51.015,-686.46,-449.174,15859.95,10.334
01,2022,03,30,15,38,10,-0.553,0.043,-0.927,49.771,44.748,50.541,-673.706,-396.964,15844.46,10.334
01,2022,03,30,15,38,11,-0.446,-0.106,-0.255,50.305,38.917,51.76,-558.201,-225.578,15800.06,10.334
01,2022,03,30,15,38,11,-0.227,-0.204,0.175,48.681,39.823,50.699,-589.848,-701.103,15813.38,10.334
01,2022,03,30,15,38,12,-0.292,-0.265,0.511,49.059,42.805,48.418,-847.479,-308.182,15777.28,10.334
01,2022,03,30,15,38,12,-0.273,-0.287,0.793,47.39,43.887,49.886,-1088.068,-189.921,15826.69,10.334
01,2022,03,30,15,38,13,-0.205,-0.207,0.363,47.524,42.451,49.141,-1093.427,-28.567,15778.08,10.334
01,2022,03,30,15,38,13,-0.328,-0.131,0.284,49.415,43.799,49.705,-808.001,-153.846,15759.99,10.334
01,2022,03,30,15,38,14,-0.374,-0.082,0.146,48.147,37.725,51.038,-830.183,54.696,15776.82,10.334
01,2022,03,30,15,38,14,-0.088,-0.252,0.608,47.368,44.417,50.541,-853.362,-34.238,15757.82,10.334
01,2022,03,30,15,38,15,-0.153,-0.007,0.277,50.75,39.094,50.27,-893.597,-420.349,15863.26,10.334
01,2022,03,30,15,38,15,-0.226,-0.06,-0.347,48.481,37.791,50.992,-663.447,-167.113,15758.06,10.334
01,2022,03,30,15,38,16,-0.285,-0.094,-0.093,49.927,40.905,51.309,-485.939,111.393,15698.1,10.334
01,2022,03,30,15,38,16,-0.31,0.069,-0.631,49.126,45.831,50.202,-892.352,-683.328,15737.36,10.334
01,2022,03,30,15,38,17,-0.247,-0.067,-0.137,48.614,41.192,50.541,-1043.828,556.508,15491.64,10.334
01,2022,03,30,15,38,17,-0.472,-0.246,0.469,50.572,49.298,52.686,-1747.378,-237.048,15762.95,10.334
01,2022,03,30,15,38,18,-0.57,-0.23,0.74,49.326,47.863,50.744,-7897.429,-1899.909,21626.52,10.334
01,2022,03,30,15,38,18,-0.389,-0.22,0.336,48.147,48.945,51.557,-1069.211,-341.205,16540.37,10.334
01,2022,03,30,15,38,19,-0.578,-0.196,0.591,51.64,50.513,52.596,-501.683,-296.237,15767.37,10.334
01,2022,03,30,15,38,19,-0.319,-0.207,0.331,50.661,50.115,52.664,-478.082,-626.336,15681.83,10.334
01,2022,03,30,15,38,20,-0.154,-0.17,0.373,49.682,49.055,52.212,-440.96,-715.657,15810.91,10.334
01,2022,03,30,15,38,20,-0.179,-0.134,0.314,50.794,50.115,50.676,-692.283,-780.81,15906.15,10.334
01,2022,03,30,15,38,21,-0.316,-0.052,-0.184,48.748,49.342,50.721,-395.945,-572.979,15866.41,10.334
02,2022,03,30,15,44,51,-0.458,-0.359,1.131,48.837,45.345,50.88,-521.158,13.875,15878.41,10.222
02,2022,03,30,15,44,51,-0.378,-0.275,0.856,50.238,49.276,51.873,-221.283,-132.265,15880.7,10.222
